X,Elevation,Resistivity,Conductivity
362.52,200.32,76.3,0.0131
367.52,200.22,65.32,0.0153
372.52,200.08,71.38,0.014
377.52,199.91,33.9,0.0295
382.52,199.75,23.23,0.043
387.52,199.59,13.33,0.075
392.52,199.43,13.44,0.0744
397.52,199.28,612.97,0.001631
402.52,199.16,234.47,0.004265
407.52,199.05,123.39,0.008104
412.52,198.95,129.87,0.0077
417.52,198.85,32.84,0.0305
422.52,198.7,47.24,0.0212
427.52,198.46,47.11,0.0212
432.52,198.18,45.97,0.0218
437.52,197.9,45.53,0.022
442.52,197.63,47.67,0.021
447.52,197.35,33.12,0.0302
452.52,197.09,63.92,0.0156
457.52,196.85,33.61,0.0298
462.52,196.6,44.65,0.0224
467.52,196.36,44.74,0.0224
472.52,196.12,36.94,0.0271
477.52,195.87,39.57,0.0253
482.52,195.62,36.63,0.0273
487.52,195.35,29.58,0.0338
492.52,195.08,62.5,0.016
497.52,194.81,56.8,0.0176
502.52,194.54,64.25,0.0156
507.52,194.27,33.46,0.0299
512.52,194,36.11,0.0277
517.52,193.73,36.1,0.0277
522.52,193.47,31.64,0.0316
527.52,193.2,59.31,0.0169
532.52,192.93,72.65,0.0138
537.52,192.71,91.49,0.0109
542.52,192.53,8.03,0.1245
547.52,192.37,47.26,0.0212
552.52,192.39,50.31,0.0199
557.52,192.59,32.76,0.0305
562.52,192.79,32.78,0.0305
567.52,193,38.16,0.0262
572.52,193.19,24.68,0.0405
577.52,193.39,30.34,0.033
582.52,193.59,29.88,0.0335
587.52,193.78,27.13,0.0369
592.52,193.98,124.69,0.00802
597.52,194.18,122.28,0.008178
602.52,194.43,121.43,0.008235
607.52,194.88,168.25,0.005944
612.52,195.47,78.94,0.0127
617.52,196.06,127.57,0.007839
622.52,196.65,125.31,0.00798
627.52,197.22,53.03,0.0189
632.52,197.55,48.81,0.0205
637.52,197.7,26.23,0.0381
642.52,197.84,95.96,0.0104
647.52,197.98,58.96,0.017
652.52,198.12,62.34,0.016
