X,Elevation,Resistivity,Conductivity
566.26,217.99,31.51,0.0317
568.76,217.99,31.51,0.0317
571.26,218,31.47,0.0318
573.76,218,32.21,0.031
576.26,218.01,35.82,0.0279
578.76,218.01,35.92,0.0278
581.26,218.01,35.2,0.0284
583.76,218.02,30.79,0.0325
586.26,218.02,30.57,0.0327
588.76,218.03,30.53,0.0328
591.26,218.03,30.38,0.0329
593.76,218.04,30.19,0.0331
596.26,218.04,30.42,0.0329
598.76,218.05,31.84,0.0314
601.26,218.05,34.56,0.0289
603.76,218.06,28.75,0.0348
606.26,218.06,28.57,0.035
608.76,218.07,31.2,0.032
611.26,218.07,30.72,0.0325
613.76,218.07,23.66,0.0423
616.26,218.08,23.38,0.0428
618.76,218.08,23.42,0.0427
621.26,218.09,23.47,0.0426
623.76,218.09,23.56,0.0424
626.26,218.1,23.55,0.0425
628.76,218.1,23.46,0.0426
631.26,218.11,25.15,0.0398
633.76,218.11,28.23,0.0354
636.26,218.12,33.25,0.0301
638.76,218.12,49.65,0.0201
641.26,218.13,48.87,0.0205
643.76,218.13,47.43,0.0211
646.26,218.14,41.13,0.0243
648.76,218.14,39.72,0.0252
651.26,218.14,35.68,0.028
653.76,218.15,34.65,0.0289
656.26,218.15,34.6,0.0289
658.76,218.16,34.69,0.0288
661.26,218.16,34.82,0.0287
663.76,218.17,34.86,0.0287
666.26,218.17,35.05,0.0285
668.76,218.18,34.01,0.0294
671.26,218.18,33.47,0.0299
673.76,218.19,31.12,0.0321
676.26,218.19,31.32,0.0319
678.76,218.2,27.69,0.0361
681.26,218.2,27.34,0.0366
683.76,218.21,35.13,0.0285
686.26,218.21,122.94,0.008134
11.26,214.45,73.46,0.0136
13.76,214.46,57.47,0.0174
16.26,214.46,53.21,0.0188
18.76,214.47,52.85,0.0189
21.26,214.47,52.8,0.0189
23.76,214.48,52.67,0.019
26.26,214.48,52.27,0.0191
28.76,214.49,51.21,0.0195
31.26,214.49,50.06,0.02
33.76,214.5,49.98,0.02
36.26,214.5,50.03,0.02
38.76,214.51,50.13,0.0199
41.26,214.51,50.16,0.0199
43.76,214.51,49.76,0.0201
46.26,214.52,47.93,0.0209
48.76,214.52,45.67,0.0219
51.26,214.53,44.1,0.0227
53.76,214.53,43.55,0.023
56.26,214.54,43.56,0.023
58.76,214.54,43.67,0.0229
61.26,214.55,43.74,0.0229
63.76,214.55,43.78,0.0228
66.26,214.56,43.8,0.0228
68.76,214.56,43.73,0.0229
71.26,214.57,43.44,0.023
73.76,214.57,42.82,0.0234
76.26,214.58,57.12,0.0175
78.76,214.58,69.39,0.0144
81.26,214.58,71.27,0.014
83.76,214.59,71.21,0.014
86.26,214.59,38.55,0.0259
88.76,214.6,27.88,0.0359
91.26,214.6,27.98,0.0357
93.76,214.61,51.68,0.0193
96.26,214.61,56.66,0.0177
98.76,214.62,56.76,0.0176
101.26,214.62,55.7,0.018
103.76,214.63,39.26,0.0255
106.26,214.63,37.58,0.0266
108.76,214.64,37.77,0.0265
111.26,214.64,37.97,0.0263
113.76,214.64,38.64,0.0259
116.26,214.65,39.78,0.0251
118.76,214.65,41.14,0.0243
121.26,214.66,41.24,0.0242
123.76,214.66,41.2,0.0243
126.26,214.67,41.2,0.0243
128.76,214.67,42.62,0.0235
131.26,214.68,45.88,0.0218
133.76,214.68,46.77,0.0214
136.26,214.69,46.99,0.0213
138.76,214.69,47.11,0.0212
141.26,214.7,47.15,0.0212
143.76,214.7,47.01,0.0213
146.26,214.71,46.55,0.0215
148.76,214.71,44.92,0.0223
151.26,214.71,42.34,0.0236
153.76,214.72,41.23,0.0243
156.26,214.72,40.7,0.0246
158.76,214.73,40.32,0.0248
161.26,214.73,39.33,0.0254
163.76,214.74,37.63,0.0266
166.26,214.74,36.74,0.0272
168.76,214.75,39.15,0.0255
171.26,214.75,43.21,0.0231
173.76,214.76,67.76,0.0148
176.26,214.76,67.74,0.0148
178.76,214.77,25.61,0.039
181.26,214.77,24.99,0.04
183.76,214.78,27.79,0.036
186.26,214.78,56.86,0.0176
188.76,214.78,58.92,0.017
191.26,214.79,57.04,0.0175
193.76,214.79,45.24,0.0221
196.26,214.8,42.36,0.0236
198.76,214.8,42.48,0.0235
201.26,214.81,43.25,0.0231
203.76,214.81,43.55,0.023
206.26,214.82,43.72,0.0229
208.76,214.82,43.86,0.0228
211.26,214.83,44.07,0.0227
213.76,214.83,46.14,0.0217
216.26,214.84,51.37,0.0195
218.76,214.84,54.36,0.0184
221.26,214.84,54.77,0.0183
223.76,214.85,54.77,0.0183
226.26,214.85,54.8,0.0182
228.76,214.86,54.83,0.0182
231.26,214.86,54.78,0.0183
233.76,214.87,54.63,0.0183
236.26,214.87,54.35,0.0184
238.76,214.88,54.01,0.0185
241.26,214.88,53.69,0.0186
243.76,214.89,53.57,0.0187
246.26,214.89,53.54,0.0187
248.76,214.9,53.5,0.0187
251.26,214.9,53.34,0.0187
253.76,214.91,53.08,0.0188
256.26,214.91,52.83,0.0189
258.76,214.91,52.46,0.0191
261.26,214.92,50.43,0.0198
263.76,214.92,49.31,0.0203
266.26,214.93,49.29,0.0203
268.76,214.93,49.43,0.0202
271.26,214.94,49.56,0.0202
273.76,214.94,49.61,0.0202
276.26,214.95,49.66,0.0201
278.76,214.95,49.89,0.02
281.26,214.96,51.78,0.0193
283.76,214.96,52.61,0.019
286.26,214.97,52.67,0.019
288.76,214.97,52.71,0.019
291.26,214.98,52.93,0.0189
293.76,214.98,52.97,0.0189
296.26,214.98,52.85,0.0189
298.76,214.99,52.69,0.019
301.26,214.99,52.69,0.019
303.76,215,52.65,0.019
306.26,215,52.52,0.019
308.76,215.01,52.29,0.0191
311.26,215.01,51.19,0.0195
313.76,215.02,48.12,0.0208
316.26,215.02,46.47,0.0215
318.76,215.03,45.17,0.0221
321.26,215.03,44.75,0.0223
323.76,215.04,44.75,0.0223
326.26,215.04,45.18,0.0221
328.76,215.04,46.56,0.0215
331.26,215.05,46.7,0.0214
333.76,215.05,46.69,0.0214
336.26,215.06,46.66,0.0214
338.76,215.06,46.56,0.0215
341.26,215.07,46.45,0.0215
343.76,215.07,46.43,0.0215
346.26,215.08,51.92,0.0193
348.76,215.08,81.31,0.0123
351.26,215.09,84.89,0.0118
353.76,215.09,88.79,0.0113
356.26,215.1,74.5,0.0134
358.76,215.1,25.38,0.0394
361.26,215.11,25.22,0.0396
