X,Elevation,Resistivity,Conductivity
257.51,193.65,101.12,0.009889
262.51,193.65,102.12,0.009792
267.51,193.65,102.85,0.009723
272.51,193.65,103.66,0.009647
277.51,193.65,104.01,0.009614
282.51,193.65,104.14,0.009602
287.51,193.65,104.14,0.009602
292.51,193.65,103.96,0.009619
297.51,193.66,101.36,0.009866
302.51,193.68,98.28,0.0102
307.51,193.69,95.38,0.0105
312.51,193.71,89,0.0112
317.51,193.72,86.78,0.0115
322.51,193.74,86.61,0.0115
327.51,193.75,86.62,0.0115
332.51,193.77,86.79,0.0115
337.51,193.78,87.89,0.0114
342.51,193.8,89.45,0.0112
347.51,193.81,89.84,0.0111
352.51,193.83,89.81,0.0111
357.51,193.84,88.71,0.0113
362.51,193.86,86.43,0.0116
367.51,193.87,85.48,0.0117
372.51,193.89,85.46,0.0117
377.51,193.9,85.55,0.0117
382.51,193.92,85.92,0.0116
387.51,193.93,88.29,0.0113
392.51,193.95,94.96,0.0105
397.51,193.95,95.57,0.0105
402.51,193.95,96.08,0.0104
407.51,193.95,96.18,0.0104
412.51,193.95,96.16,0.0104
417.51,193.95,95.85,0.0104
422.51,193.95,93.08,0.0107
427.51,193.95,92.48,0.0108
432.51,193.95,90.17,0.0111
437.51,193.95,89.3,0.0112
442.51,193.95,87.06,0.0115
447.51,193.95,84.8,0.0118
452.51,193.95,83.9,0.0119
457.51,193.95,82.99,0.012
462.51,193.95,81.74,0.0122
467.51,193.95,81.59,0.0123
472.51,193.95,81.6,0.0123
477.51,193.95,81.72,0.0122
482.51,193.95,81.87,0.0122
487.51,193.94,82.05,0.0122
492.51,193.92,82.63,0.0121
497.51,193.89,84.04,0.0119
502.51,193.86,85.6,0.0117
507.51,193.84,85.85,0.0116
512.51,193.81,85.89,0.0116
517.51,193.79,85.85,0.0116
522.51,193.76,85.71,0.0117
527.51,193.73,85.58,0.0117
532.51,193.71,85.3,0.0117
537.51,193.68,84.79,0.0118
542.51,193.66,82.8,0.0121
547.51,193.63,81.75,0.0122
552.51,193.6,79.1,0.0126
557.51,193.58,78.37,0.0128
562.51,193.55,77.41,0.0129
567.51,193.52,75.73,0.0132
572.51,193.5,74.88,0.0134
32.51,190.65,76.61,0.0131
40.01,190.68,76.21,0.0131
47.51,190.7,76.01,0.0132
52.51,190.72,74.38,0.0134
57.51,190.74,70.48,0.0142
62.51,190.75,68.33,0.0146
67.51,190.77,68.27,0.0146
72.51,190.78,68.37,0.0146
77.51,190.8,69.31,0.0144
82.51,190.82,70.21,0.0142
87.51,190.83,71.06,0.0141
92.51,190.85,71.34,0.014
97.51,190.86,71.47,0.014
102.51,190.88,71.83,0.0139
