X,Elevation,Resistivity,Conductivity
68.76,217.73,40.9,0.0245
71.26,217.74,41.95,0.0238
73.76,217.74,26.11,0.0383
76.26,217.75,26.09,0.0383
78.76,217.75,41.63,0.024
81.26,217.76,40.07,0.025
83.76,217.76,39.21,0.0255
86.26,217.77,39.14,0.0255
88.76,217.77,33.69,0.0297
91.26,217.77,29.77,0.0336
93.76,217.78,29.19,0.0343
96.26,217.78,29.12,0.0343
98.76,217.79,29.04,0.0344
101.26,217.79,30.09,0.0332
103.76,217.8,30.12,0.0332
106.26,217.8,30.26,0.0331
108.76,217.81,46.15,0.0217
111.26,217.81,45.08,0.0222
113.76,217.82,42.68,0.0234
116.26,217.82,40.44,0.0247
118.76,217.82,38.38,0.0261
121.26,217.83,33.72,0.0297
123.76,217.83,33.55,0.0298
126.26,217.84,33.56,0.0298
128.76,217.84,33.66,0.0297
131.26,217.85,33.64,0.0297
133.76,217.85,31.58,0.0317
136.26,217.86,29.53,0.0339
138.76,217.86,26.2,0.0382
141.26,217.87,25.22,0.0397
143.76,217.87,22.17,0.0451
146.26,217.87,21.35,0.0468
148.76,217.88,27.32,0.0366
151.26,217.88,31.22,0.032
153.76,217.89,12.51,0.0799
156.26,217.89,12.48,0.0801
158.76,217.9,41.2,0.0243
161.26,217.9,30.54,0.0327
163.76,217.91,26.74,0.0374
166.26,217.91,28.55,0.035
168.76,217.92,29.96,0.0334
171.26,217.92,31.79,0.0315
173.76,217.92,37.07,0.027
176.26,217.93,37.06,0.027
178.76,217.93,38.18,0.0262
181.26,217.94,38.26,0.0261
183.76,217.94,40.55,0.0247
186.26,217.95,40.93,0.0244
188.76,217.95,46.07,0.0217
191.26,217.96,46.28,0.0216
193.76,217.96,46.2,0.0216
196.26,217.96,44.21,0.0226
198.76,217.97,43.66,0.0229
201.26,217.97,43.71,0.0229
203.76,217.98,43.61,0.0229
206.26,217.98,40.68,0.0246
208.76,217.99,39.12,0.0256
211.26,217.99,37.28,0.0268
213.76,218,33.62,0.0297
216.26,218,33.67,0.0297
218.76,218.01,35.45,0.0282
221.26,218.01,35.72,0.028
223.76,218.01,35.71,0.028
226.26,218.02,35.5,0.0282
228.76,218.02,46.44,0.0215
231.26,218.03,47.53,0.021
233.76,218.03,30.95,0.0323
236.26,218.03,31,0.0323
238.76,218.04,54.04,0.0185
241.26,218.04,42.45,0.0236
243.76,218.04,37.75,0.0265
246.26,218.05,38.04,0.0263
248.76,218.05,38.12,0.0262
251.26,218.05,38.23,0.0262
253.76,218.06,38.26,0.0261
256.26,218.06,42.07,0.0238
258.76,218.06,42.93,0.0233
261.26,218.06,43.72,0.0229
263.76,218.07,44.1,0.0227
266.26,218.07,45.8,0.0218
268.76,218.07,46.15,0.0217
271.26,218.07,46.18,0.0217
273.76,218.07,47.53,0.021
276.26,218.07,51.82,0.0193
278.76,218.08,51.8,0.0193
281.26,218.08,47.53,0.021
283.76,218.08,45.19,0.0221
286.26,218.08,41.93,0.0238
288.76,218.08,41.06,0.0244
291.26,218.08,40.94,0.0244
293.76,218.08,41.14,0.0243
